	F22HpB	S17H1	530055	531424	S27H1	530451	31236	S15Hp	S3Hp	S21H1	31232	S28Hp	F22H1A	530050	S30H1	S31Hp	S7Hp	F8H1	S29H1	S19H1	w11pp	w2pp	s24H1	S10H1	F23HpA	F1H1	530394	S1Hp	F32H1	S9H1	F6H1	S22Hp	31328	S16H2	F14H1A	530075	31071	F3H1	S26Hp
w11pp	0.2741810076399463	0.2733154270258533	0.28361917239152	0.34461944419418494	0.29409199533228414	0.34104122750714727	0.3375874155563465	0.2622200131061452	0.2827883690369437	0.2683478026022205	0.33180197448303295	0.2952292777799617	0.5166135793483755	0.47209871088967265	0.5105307528426717	0.20225336348763398	0.1783734155912079	0.10128243334303136	0.07004049633065572	0.03691706545707321	0.0	0.06322464615352809	0.08192117170545066	0.1206641013422657	0.12178274712929876	0.30150433490999257	0.316595953239786	0.2926137903676534	0.30248859878836204	0.2938096075456038	0.3039851033948433	0.2971468199041449	0.3375667475291996	0.28360694866796765	0.25946501949426964	0.2651394657287718	0.3171375086918128	0.22541347728418154	0.2658652325773398
w2pp	0.32195468793513854	0.32108910732104556	0.33139285268671226	0.39239312448937724	0.3418656756274764	0.38881490780233957	0.38536109585153877	0.3099936934013374	0.33056204933213595	0.3161214828974128	0.37957565477822525	0.343002958075154	0.5643872596435677	0.519872391184865	0.5583044331378639	0.25002704378282625	0.22614709588640014	0.14905611363822363	0.11781417662584799	0.08469074575226548	0.06322464615352809	0.0	0.12969485200064293	0.16843778163745798	0.16955642742449104	0.34927801520518487	0.3643696335349783	0.34038747066284564	0.35026227908355434	0.34158328784079606	0.3517587836900356	0.3449205001993371	0.3853404278243919	0.3313806289631599	0.3072386997894619	0.3129131460239641	0.36491118898700503	0.27318715757937384	0.31363891287253204
s24H1	0.2496177938900907	0.24875221327599772	0.2590559586416644	0.32005623044432935	0.26952878158242854	0.3164780137572917	0.31302420180649093	0.23765679935628956	0.2582251552870881	0.24378458885236493	0.30723876073317735	0.2706660640301061	0.4920503655985199	0.44753549713981705	0.4859675390928161	0.17769014973777839	0.1538102018413523	0.07671921959317576	0.07940138332493267	0.09388233598773639	0.08192117170545066	0.12969485200064293	0.0	0.06922465941866496	0.07034330520569804	0.27694112116013697	0.2920327394899304	0.2680505766177978	0.27792538503850645	0.2692463937957482	0.2794218896449877	0.2725836061542893	0.313003533779344	0.25904373491811206	0.23490180574441405	0.24057625197891622	0.2925742949419572	0.20085026353432595	0.2413020188274842
S10H1	0.2883607235269057	0.28749514291281275	0.29779888827847945	0.3587991600811444	0.30827171121924357	0.3552209433941067	0.35176713144330596	0.2763997289931046	0.29696808492390314	0.28252751848917995	0.3459816903699924	0.30940899366692115	0.5307932952353349	0.4862784267766321	0.5247104687296311	0.2164330793745934	0.19255313147816733	0.1154621492299908	0.11814431296174771	0.13262526562455143	0.1206641013422657	0.16843778163745798	0.06922465941866496	0.0	0.03776522944387675	0.315684050796952	0.33077566912674544	0.3067935062546128	0.31666831467532147	0.30798932343256324	0.31816481928180274	0.3113265357911043	0.351746463416159	0.2977866645549271	0.2736447353812291	0.2793191816157312	0.3313172245787722	0.23959319317114097	0.2800449484642992
F23HpA	0.2894793693139388	0.28861378869984583	0.2989175340655125	0.35991780586817745	0.30939035700627665	0.35633958918113984	0.35288577723033904	0.27751837478013763	0.2980867307109362	0.28364616427621303	0.3471003361570255	0.31052763945395423	0.531911941022368	0.48739707256366516	0.5258291145166643	0.2175517251616265	0.1936717772652004	0.11658079501702387	0.11926295874878078	0.13374391141158448	0.12178274712929876	0.16955642742449104	0.07034330520569804	0.03776522944387675	0.0	0.3168026965839851	0.3318943149137785	0.3079121520416459	0.31778696046235455	0.3091079692195963	0.31928346506883587	0.3124451815781374	0.35286510920319214	0.2989053103419601	0.27476338116826216	0.28043782740276435	0.33243587036580524	0.24071183895817405	0.2811635942513323
F1H1	0.21008999935399675	0.22506755713681675	0.23537130250248345	0.2963715743051484	0.24584412544324757	0.29279335761811076	0.3118701872901017	0.23650278483990034	0.25707114077069887	0.24263057433597573	0.30608474621678816	0.2695120495137169	0.5054331603948676	0.4609182919361648	0.49935033388916383	0.22058983778405156	0.23103396026163692	0.23966557853538842	0.2989845465294746	0.3134654991922783	0.30150433490999257	0.34927801520518487	0.27694112116013697	0.315684050796952	0.3168026965839851	0.0	0.2243321297478792	0.20034996687574655	0.23839759050241247	0.2297185992596542	0.23989409510889376	0.23305581161819527	0.27347573924325	0.21951594038201805	0.19537401120832004	0.20104845744282224	0.2530465004058632	0.16132246899823197	0.20177422429139022
530394	0.22518161768379014	0.2401591754666102	0.2504629208322769	0.3114631926349418	0.260935743773041	0.3078849759479042	0.32696180561989513	0.2515944031696938	0.2721627591004923	0.2577221926657691	0.3211763645465816	0.2846036678435103	0.5205247787246611	0.4760099102659582	0.5144419522189573	0.23568145611384497	0.24612557859143036	0.25475719686518183	0.31407616485926804	0.32855711752207173	0.316595953239786	0.3643696335349783	0.2920327394899304	0.33077566912674544	0.3318943149137785	0.2243321297478792	0.0	0.08433466934964906	0.2534892088322059	0.24481021758944765	0.25498571343868714	0.24814742994798872	0.2885673575730434	0.23460755871181146	0.21046562953811349	0.21614007577261565	0.2681381187356566	0.17641408732802538	0.21686584262118364
S1Hp	0.20119945481165752	0.21617701259447758	0.22648075796014427	0.2874810297628092	0.2369535809009084	0.28390281307577153	0.3029796427477625	0.22761224029756114	0.2481805962283597	0.2337400297936365	0.29719420167444893	0.2606215049713777	0.4965426158525284	0.45202774739382556	0.4904597893468246	0.21169929324171233	0.22214341571929774	0.23077503399304922	0.29009400198713536	0.3045749546499391	0.2926137903676534	0.34038747066284564	0.2680505766177978	0.3067935062546128	0.3079121520416459	0.20034996687574655	0.08433466934964906	0.0	0.22950704596007326	0.22082805471731504	0.23100355056655453	0.22416526707585607	0.2645851947009108	0.21062539583967882	0.18648346666598084	0.192157912900483	0.24415595586352395	0.15243192445589276	0.192883679749051
F32H1	0.20162965759699586	0.22605182101518623	0.23635556638085292	0.29735583818351785	0.24682838932161705	0.29377762149648023	0.31285445116847116	0.2374870487182698	0.25805540464906834	0.2436148382143452	0.30706901009515764	0.27049631339208635	0.5064174242732371	0.46190255581453427	0.5003345977675333	0.22157410166242103	0.2320182241400064	0.24064984241375792	0.29996881040784407	0.31444976307064776	0.30248859878836204	0.35026227908355434	0.27792538503850645	0.31666831467532147	0.31778696046235455	0.23839759050241247	0.2534892088322059	0.22950704596007326	0.0	0.15040014155352394	0.16057563740276348	0.153737353912065	0.19415728153711975	0.21105559862501722	0.1869136694513192	0.1925881156858214	0.24458615864886235	0.15286212724123113	0.19331388253438936
S9H1	0.19295066635423763	0.217372829772428	0.2276765751380947	0.2886768469407596	0.23814939807885882	0.28509863025372195	0.30417545992571293	0.22880805747551158	0.24937641340631012	0.23493584697158695	0.29839001885239935	0.2618173221493281	0.4977384330304788	0.45322356457177604	0.491655606524775	0.21289511041966278	0.22333923289724816	0.23197085117099966	0.2912898191650858	0.30577077182788953	0.2938096075456038	0.34158328784079606	0.2692463937957482	0.30798932343256324	0.3091079692195963	0.2297185992596542	0.24481021758944765	0.22082805471731504	0.15040014155352394	0.0	0.11543726795548898	0.10859898446479052	0.14901891208984527	0.20237660738225896	0.17823467820856098	0.18390912444306315	0.2359071674061041	0.14418313599847288	0.18463489129163113
