	F23HpA	F22HpB	w24pp	w11pp	f2pp	f8pp	f16ppA	f11pp	f4pp	w19pp	f10pp	w20pp	S4Hp	f24pp	w17pp	S17H1	w18pp	f14ppB	f20ppA	w14pp	w1pp	w26pp	f7pp	f1pp	f30pp	S9H1	S20H1	S27H1	S18H1	F14H1A	S16H2	S11Hp	S1Hp	S29H1	S23Hp	S3Hp
S20H1	0.4082574266992284	0.32733089257948467	0.3110348633855732	0.32633612369438814	0.3389827498582467	0.33910875622921566	0.3464447032369272	0.34444606204196276	0.3473386887919131	0.34349186516578856	0.3360584866802488	0.34059727939259477	0.3764378181463738	0.3156660325302742	0.33627449189175573	0.35510504644876095	0.34843574702347196	0.3097691874944796	0.3076088906341383	0.3179501812280232	0.3319775996964153	0.3255558843235944	0.31494892109819256	0.30220280859508875	0.3036269851911057	0.18815959834875276	0.0	0.3542870602181781	0.2930631529291558	0.34120583485774936	0.35663074944599327	0.29500920470503594	0.3735765390623785	0.46564057147935445	0.43225221414789966	0.415293010189679
S27H1	0.41483509592517154	0.33390856180542783	0.31761253261151623	0.3329137929203312	0.3455604190841899	0.34568642545515876	0.3530223724628704	0.35102373126790587	0.3539163580178562	0.35006953439173166	0.3426361559061919	0.34717494861853787	0.3830154873723169	0.3222437017562173	0.3428521611176988	0.36168271567470406	0.35501341624941507	0.31634685672042273	0.31418655986008137	0.32452785045396637	0.33855526892235843	0.33213355354953755	0.32152659032413566	0.3087804778210319	0.3102046544170488	0.3034871091689012	0.3542870602181781	0.0	0.21267620742283494	0.34778350408369246	0.3632084186719364	0.30158687393097905	0.3801542082883216	0.4722182407052976	0.43882988337384277	0.42187067941562206
S18H1	0.35361118863614927	0.27268465451640556	0.256388625322494	0.27168988563130897	0.2843365117951676	0.28446251816613655	0.2917984651738481	0.2897998239788836	0.292692450728834	0.28884562710270945	0.2814122486171696	0.28595104132951565	0.32179158008329467	0.26101979446719503	0.28162825382867657	0.30045880838568184	0.2937895089603928	0.25512294943140046	0.25296265257105915	0.2633039431649441	0.27733136163333616	0.2709096462605153	0.2603026830351134	0.24755657053200963	0.24898074712802656	0.242263201879879	0.2930631529291558	0.21267620742283494	0.0	0.28655959679467025	0.30198451138291416	0.2403629666419568	0.3189303009992993	0.41099433341627534	0.3776059760848205	0.3606467721265998
F14H1A	0.36987534864702726	0.30376592512608536	0.28746989593217376	0.3027711562409887	0.3154177824048474	0.3155437887758163	0.3228797357835279	0.3208810945885634	0.32377372133851373	0.3199268977123892	0.3124935192268494	0.3170323119391954	0.3528728506929744	0.29210106507687483	0.3127095244383563	0.3315400789953616	0.3248707795700726	0.28620422004108026	0.2840439231807389	0.2943852137746239	0.30841263224301596	0.3019909168701951	0.2913839536447932	0.27863784114168944	0.28006201773770634	0.29040588380847254	0.34120583485774936	0.34778350408369246	0.28655959679467025	0.0	0.31281395339318707	0.25119240865222975	0.3297597430095723	0.4272584934271534	0.39387013609569854	0.37691093213747784
S16H2	0.38530026323527117	0.31919083971432927	0.30289481052041767	0.3181960708292326	0.3308426969930913	0.3309687033640602	0.3383046503717718	0.3363060091768073	0.33919863592675764	0.3353518123006331	0.32791843381509334	0.3324572265274393	0.3682977652812183	0.30752597966511874	0.3281344390266002	0.3469649935836055	0.3402956941583165	0.30162913462932417	0.2994688377689828	0.3098101283628678	0.32383754683125987	0.317415831458439	0.3068088682330371	0.29406275572993334	0.29548693232595025	0.30583079839671645	0.35663074944599327	0.3632084186719364	0.30198451138291416	0.31281395339318707	0.0	0.14113520709099392	0.21970254144833645	0.4426834080153973	0.40929505068394245	0.39233584672572175
S11Hp	0.32367871849431384	0.2575692949733719	0.24127326577946037	0.25657452608827536	0.26922115225213394	0.2693471586231029	0.27668310563081444	0.27468446443585	0.2775770911858003	0.2737302675596758	0.266296889074136	0.270835681786482	0.306676220540261	0.24590443492416142	0.26651289428564295	0.2853434488426482	0.2786741494173592	0.24000758988836685	0.2378472930280255	0.24818858362191046	0.26221600209030255	0.2557942867174816	0.24518732349207978	0.232441210988976	0.23386538758499292	0.2442092536557591	0.29500920470503594	0.30158687393097905	0.2403629666419568	0.25119240865222975	0.14113520709099392	0.0	0.11454440659751464	0.3810618632744399	0.34767350594298513	0.3307143019847644
S1Hp	0.4022460528516564	0.3361366293307144	0.31984060013680293	0.3351418604456179	0.3477884866094765	0.3479144929804454	0.355250439988157	0.3532517987931925	0.35614442554314285	0.3522976019170183	0.34486422343147854	0.3494030161438245	0.38524355489760354	0.32447176928150395	0.3450802286429855	0.3639107831999907	0.3572414837747017	0.3185749242457094	0.3164146273853681	0.32675591797925296	0.3407833364476451	0.33436162107482414	0.3237546578494223	0.3110085453463185	0.31243272194233546	0.3227765880131016	0.3735765390623785	0.3801542082883216	0.3189303009992993	0.3297597430095723	0.21970254144833645	0.11454440659751464	0.0	0.45962919763178245	0.42624084030032766	0.409281636342107
S29H1	0.4218947770551198	0.42820066174769045	0.4119046325537789	0.42720589286259386	0.4398525190264525	0.43997852539742144	0.447314472405133	0.4453158312101685	0.4482084579601189	0.44436163433399434	0.4369282558484545	0.44146704856080055	0.47730758731457956	0.4165358016984799	0.43714426105996146	0.45597481561696673	0.4493055161916777	0.41063895666268535	0.40847865980234405	0.418819950396229	0.43284736886462105	0.42642565349180017	0.4158186902663983	0.4030725777632945	0.40449675435931143	0.41484062043007763	0.46564057147935445	0.4722182407052976	0.41099433341627534	0.4272584934271534	0.4426834080153973	0.3810618632744399	0.45962919763178245	0.0	0.16839755061344355	0.4289303605455703
S23Hp	0.38850641972366495	0.3948123044162356	0.3785162752223241	0.3938175355311391	0.40646416169499766	0.4065901680659666	0.41392611507367816	0.4119274738787137	0.41482010062866403	0.4109732770025395	0.40353989851699973	0.4080786912293457	0.4439192299831247	0.38314744436702514	0.40375590372850667	0.4225864582855119	0.4159171588602229	0.37725059933123056	0.37509030247088926	0.38543159306477415	0.39945901153316626	0.39303729616034533	0.3824303329349435	0.3696842204318397	0.37110839702785664	0.3814522630986228	0.43225221414789966	0.43882988337384277	0.3776059760848205	0.39387013609569854	0.40929505068394245	0.34767350594298513	0.42624084030032766	0.16839755061344355	0.0	0.39554200321411553
S3Hp	0.3092585662379197	0.3778531004580149	0.3615570712641034	0.37685833157291837	0.38950495773677696	0.3896309641077459	0.39696691111545745	0.394968269920493	0.39786089667044333	0.3940140730443188	0.386580694558779	0.391119487271125	0.426960026024904	0.36618824040880443	0.38679669977028597	0.4056272543272912	0.3989579549020022	0.36029139537300986	0.35813109851266856	0.36847238910655344	0.38249980757494556	0.3760780922021246	0.3654711289767228	0.352725016473619	0.35414919306963594	0.3644930591404021	0.415293010189679	0.42187067941562206	0.3606467721265998	0.37691093213747784	0.39233584672572175	0.3307143019847644	0.409281636342107	0.4289303605455703	0.39554200321411553	0.0
