	S7Hp	S18H1	530451	S6Hp	31300	31452	530295	F14H1A	S16H2	531414	530258	F14H1B	S31Hp	S13Hp	S14Hp	w24pp	f20ppA	w14pp	f4pp	f8pp	f14ppA	f1pp	w3pp	f22ppA	f19pp	f10pp	f2pp	w9pp	f32pp	f25pp	f16ppA	f14ppB	f7pp	f12ppB	f24pp	f6ppB	f22ppB	w11pp	S15Hp	w20pp	s24H1	F6H1	S25Hp	S28Hp	S26Hp	F23HpA	F7H1	S1Hp	S20H1	S3Hp	S21H1	S9H1	F29H1	S23Hp	31219	S19H1
530258	0.35532879485748914	0.33573188152258643	0.3072061168403171	0.3633234057927486	0.29873000713935133	0.248314538255499	0.29112979782703646	0.23646069342803386	0.23305001661033575	0.23606280541131047	0.0	0.23469102871247535	0.21187500046306562	0.25184176494134997	0.3431537585573502	0.320524201912296	0.31481453313811236	0.3396792262964293	0.3237948266090105	0.321360565716257	0.3697860562218338	0.33265270591394724	0.3450743708275452	0.35331343828355233	0.3636514273316017	0.3756234695808278	0.36307694306121374	0.34333058075901346	0.3579003550294879	0.35526780405975866	0.33486769691191254	0.333487664585308	0.33786976931665225	0.36546675672963613	0.3172336398417003	0.31836875967365796	0.3181867536815083	0.31721071915702587	0.3325365758209199	0.32341630399669286	0.36800415113871676	0.3044321721990795	0.2705583597818504	0.28684488952028264	0.31036734144298617	0.316285562630828	0.411597578812765	0.6503312164265624	0.4342900794798692	0.4057283955181991	0.3944552625681521	0.40356450831872837	0.37063438719978925	0.35176357795464147	0.32876092843281424	0.33275557097088804
F14H1B	0.24371936808064437	0.22412245474574166	0.19559669006347236	0.2517139790159038	0.18712058036250656	0.15056829257697735	0.2068159232359074	0.15214681883690476	0.18665519409325873	0.21586213905866133	0.23469102871247535	0.0	0.0878847494372578	0.1402323381645052	0.23154433178050537	0.20891477513545126	0.2032051063612676	0.22806979951958456	0.21218539983216567	0.20975113893941222	0.258176629444989	0.22104327913710242	0.2334649440507004	0.24170401150670756	0.25204200055475695	0.264014042803983	0.251467516284369	0.23172115398216864	0.2462909282526431	0.24365837728291384	0.22325827013506777	0.22187823780846316	0.22626034253980748	0.25385732995279137	0.2056242130648555	0.2067593328968132	0.20657732690466352	0.2056012923801811	0.22092714904407512	0.21180687721984803	0.25639472436187194	0.19282274542223465	0.1589489330050056	0.17523546274343782	0.19875791466614137	0.20467613585398323	0.2999881520359202	0.5387217896497176	0.3226806527030244	0.29411896874135435	0.2828458357913073	0.29195508154188354	0.25902496042294443	0.2401541511777967	0.21715150165596944	0.22114614419404327
S31Hp	0.2209033398312346	0.2013064264963319	0.1727806618140626	0.22889795076649405	0.1643045521130968	0.1277522643275676	0.18399989498649766	0.12933079058749503	0.163839165843849	0.1930461108092516	0.21187500046306562	0.0878847494372578	0.0	0.11741630991509543	0.20872830353109562	0.1860987468860415	0.18038907811185784	0.2052537712701748	0.1893693715827559	0.18693511069000246	0.23536060119557922	0.19822725088769266	0.21064891580129064	0.2188879832572978	0.2292259723053472	0.24119801455457324	0.22865148803495922	0.20890512573275888	0.22347490000323333	0.22084234903350408	0.200442241885658	0.1990622095590534	0.20344431429039772	0.2310413017033816	0.18280818481544575	0.18394330464740344	0.18376129865525376	0.18278526413077134	0.19811112079466536	0.18899084897043827	0.23357869611246218	0.1700067171728249	0.13613290475559583	0.15241943449402806	0.1759418864167316	0.18186010760457347	0.27717212378651046	0.5159057614003079	0.2998646244536146	0.2713029404919446	0.26002980754189753	0.2691390532924738	0.23620893217353467	0.21733812292838695	0.19433547340655968	0.1983301159446335
S13Hp	0.23901124868180287	0.21941433534690014	0.19088857066463083	0.2470058596170623	0.18241246096366504	0.16771902880585193	0.223966659464782	0.16929755506577937	0.20380593032213334	0.23301287528753595	0.25184176494134997	0.1402323381645052	0.11741630991509543	0.0	0.1989346614272416	0.17630510478218747	0.17059543600800375	0.19546012916632077	0.17957572947890188	0.1771414685861484	0.2255669590917252	0.18843360878383864	0.2008552736974366	0.20909434115344377	0.21943233020149316	0.2314043724507192	0.2188578459311052	0.19911148362890485	0.2136812578993793	0.21104870692965005	0.19064859978180398	0.18926856745519938	0.1936506721865437	0.22124765959952758	0.17301454271159172	0.17414966254354936	0.17396765655139973	0.17299162202691726	0.18831747869081134	0.17919720686658425	0.22378505400860815	0.16021307506897087	0.1542408136061641	0.1705273433445963	0.19404979526729987	0.19996801645514173	0.2952800326370787	0.5340136702508761	0.3179725333041829	0.2894108493425128	0.2781377163924658	0.2872469621430421	0.2543168410241029	0.23544603177895518	0.21244338225712792	0.21643802479520174
S14Hp	0.3303232422978031	0.3107263289629003	0.282200564280631	0.3383178532330625	0.27372445457966527	0.25903102242185216	0.3152786530807822	0.26060954868177955	0.2951179239381335	0.3243248689035362	0.3431537585573502	0.23154433178050537	0.20872830353109562	0.1989346614272416	0.0	0.25580463046463203	0.2500949616904483	0.27495965484876533	0.25907525516134644	0.256640994268593	0.30506648477416975	0.2679331344662832	0.28035479937988117	0.2885938668358883	0.29893185588393767	0.31090389813316377	0.2983573716135497	0.2786110093113494	0.29318078358182387	0.2905482326120946	0.2701481254642485	0.26876809313764394	0.27315019786898825	0.30074718528197214	0.2525140683940363	0.2536491882259939	0.2534671822338443	0.2524911477093618	0.26781700437325584	0.2586967325490288	0.3032845796910527	0.23971260075141543	0.2455528072221643	0.2618393369605965	0.2853617888833001	0.2912800100711419	0.38659202625307887	0.6253256638668763	0.40928452692018313	0.380722842958513	0.36944971000846605	0.3785589557590423	0.34562883464010313	0.3267580253949554	0.3037553758731282	0.307750018411202
w24pp	0.30769368565274896	0.28809677231784625	0.25957100763557694	0.3156882965880084	0.25109489793461115	0.23640146577679805	0.2926490964357281	0.23797999203672546	0.27248836729307946	0.301695312258482	0.320524201912296	0.20891477513545126	0.1860987468860415	0.17630510478218747	0.25580463046463203	0.0	0.059679142755474465	0.09986139906851887	0.08397699938109993	0.08154273848834648	0.12996822899392324	0.09283487868603674	0.1052565435996347	0.11349561105564183	0.12383360010369122	0.13580564235291728	0.12325911583330326	0.10351275353110295	0.11808252780157741	0.11544997683184813	0.09504986968400203	0.09366983735739745	0.0980519420887418	0.12564892950172568	0.0774158126137898	0.09933515768698858	0.09915315169483893	0.11319582571771103	0.12852168238160508	0.11940141055737799	0.16398925769940192	0.16810166397227216	0.22292325057711018	0.2392097803155424	0.26273223223824593	0.26865045342608784	0.3639624696080248	0.6026961072218222	0.38665497027512896	0.35809328631345894	0.3468201533634119	0.35592939911398813	0.322999277995049	0.3041284687499013	0.281125819228074	0.28512046176614786
f20ppA	0.30198401687856524	0.28238710354366253	0.2538613388613932	0.3099786278138247	0.24538522916042743	0.23069179700261433	0.2869394276615444	0.23227032326254177	0.26677869851889574	0.29598564348429834	0.31481453313811236	0.2032051063612676	0.18038907811185784	0.17059543600800375	0.2500949616904483	0.059679142755474465	0.0	0.09415173029433518	0.07826733060691624	0.07583306971416279	0.12425856021973956	0.08712520991185305	0.099546874825451	0.10778594228145814	0.11812393132950753	0.1300959735787336	0.11754944705911957	0.09780308475691926	0.11237285902739372	0.10974030805766444	0.08934020090981834	0.08796016858321376	0.0923422733145581	0.11993926072754198	0.0717061438396061	0.0936254889128049	0.09344348292065524	0.10748615694352734	0.12281201360742139	0.1136917417831943	0.15827958892521823	0.1623919951980885	0.2172135818029265	0.23350011154135872	0.25702256346406227	0.2629407846519041	0.3582528008338411	0.5969864384476385	0.3809453015009453	0.3523836175392752	0.3411104845892282	0.35021973033980447	0.31728960922086535	0.2984187999757176	0.27541615045389034	0.2794107929919642
w14pp	0.32684871003688226	0.30725179670197955	0.27872603201971025	0.3348433209721417	0.27024992231874445	0.25555649016093135	0.3118041208198614	0.2571350164208588	0.29164339167721276	0.3208503366426153	0.3396792262964293	0.22806979951958456	0.2052537712701748	0.19546012916632077	0.27495965484876533	0.09986139906851887	0.09415173029433518	0.0	0.06483950435622447	0.07288091301797765	0.12130640352355446	0.08417305321566791	0.10675525161385907	0.11499431906986621	0.1253323081179156	0.13730435036714167	0.12475782384752764	0.10501146154532733	0.11958123581580178	0.1169486848460725	0.0965485776982264	0.09516854537162182	0.09955065010296615	0.12714763751595004	0.07891452062801416	0.11849018207112193	0.11830817607897227	0.1323508501018444	0.1476767067657384	0.13855643494151132	0.18314428208353528	0.18725668835640552	0.24207827496124348	0.2583648046996757	0.28188725662237923	0.28780547781022114	0.3831174939921581	0.6218511316059555	0.40580999465926226	0.37724831069759224	0.3659751777475452	0.37508442349812143	0.3421543023791823	0.3232834931340346	0.3002808436122073	0.30427548615028116
f4pp	0.31096431034946337	0.2913673970145606	0.2628416323322913	0.3189589212847228	0.25436552263132556	0.23967209047351246	0.29591972113244247	0.24125061673343987	0.2757589919897938	0.30496593695519647	0.3237948266090105	0.21218539983216567	0.1893693715827559	0.17957572947890188	0.25907525516134644	0.08397699938109993	0.07826733060691624	0.06483950435622447	0.0	0.056996513330558704	0.10542200383613551	0.06828865352824896	0.09087085192644012	0.09910991938244726	0.10944790843049665	0.12141995067972271	0.10887342416010869	0.08912706185790838	0.10369683612838283	0.10106428515865355	0.08066417801080746	0.07928414568420288	0.0836662504155472	0.11126323782853109	0.06303012094059521	0.10260578238370298	0.10242377639155333	0.11646645041442544	0.1317923070783195	0.1226720352540924	0.16725988239611633	0.17137228866898657	0.2261938752738246	0.24248040501225682	0.2660028569349604	0.2719210781228022	0.36723309430473916	0.6059667319185367	0.3899255949718434	0.3613639110101733	0.35009077806012634	0.3592000238107026	0.3262699026917634	0.3073990934466157	0.28439644392478847	0.28839108646286227
f8pp	0.3085300494567099	0.28893313612180715	0.26040737143953785	0.31652466039196936	0.25193126173857205	0.23723782958075895	0.293485460239689	0.2388163558406864	0.27332473109704036	0.30253167606244297	0.321360565716257	0.20975113893941222	0.18693511069000246	0.1771414685861484	0.256640994268593	0.08154273848834648	0.07583306971416279	0.07288091301797765	0.056996513330558704	0.0	0.08617864680069737	0.04904529649281082	0.08843659103368667	0.09667565848969381	0.1070136475377432	0.11898568978696926	0.10643916326735524	0.08669280096515493	0.10126257523562938	0.0986300242659001	0.07822991711805401	0.07684988479144943	0.08123198952279376	0.10882897693577764	0.06059586004784176	0.10017152149094953	0.09998951549879988	0.11403218952167199	0.12935804618556604	0.12023777436133895	0.16482562150336288	0.16893802777623312	0.22375961438107111	0.24004614411950334	0.2635685960422069	0.26948681723004875	0.3647988334119857	0.6035324710257831	0.3874913340790899	0.35892965011741984	0.34765651716737284	0.3567657629179491	0.3238356417990099	0.3049648325538622	0.28196218303203496	0.2859568255701088
